"id","term_id","translation"
597,597,"چټې توب، پو چوالى،او."
598,598,"په نامعقولۍ: په بې ربطۍ: په چټي ( توګه )."
599,599,"بې ربطې: ابتذال."
600,600,"پريماني، ډېرښت"
601,601,"زياتوالى، پريماني."
602,602,"زيات، ډېر، خوراډېر."
603,603,"پرېمانه"
604,604,"ناوړه استعمال، ناوړه، ناجايزه، ښكنځا: ګټه، ټګي، غولونه، ژوبلونه، تېرى.  ناوړه او بېځايه استعمالول ناوړه ګټه كول ( له ): ټګي كول ( په اعتماد كې ): تېر ايستل: تېرى كول."
605,605,"ناوړه"
606,606,"غولوونكى: تېرى كوونكى په ناوړه توګه."
607,607,"بېځايه، له ټګي ډك"
608,608,"تكيه كول ( په ): نښتل ( له )."
609,609,"سره لګېدنه، هغه برخه چې په بل باندې تكيه وى: دتكيې ځاى."
610,610,"سرحد، وېش."
611,611,"ډېر ژور: بې تله ( پايه ): بې حده ( ژور)."
612,612,"ژور، بې حده ( ژور ) ناپايه."
613,613,"بې حده ژور ډنډ، داوبو ګرځنى ( ګرداب ) : دوږخ: ډېر ژور: دسيند ژورې ( برخې ): نه اندازه كېدونكې كنده."
614,614,"بې تله: ناپايه"
615,615,"غز ( يو بوټى چې له لښتو څخه يې ټوكړى اودل كېږي ) غز( يوه ونه چې سرې لښتى لري ): اكاسي ( ونه )."
616,616,"داپلا تون فلسفې ښوونځى پورې مربوط: علمي، هنري ټولنې ته منسوب: شكاك: په علمي توګه: رسمي: نظري ( نه عملي ): اپلاتوني فيلسوف: دعلمي هنري ټولنې غړى."
617,617,"اكاډمۍ غړى"
618,618,"(لر) داپلاتون فلسفې ښوونځى: ټولنه (علمى، هنرى)."
619,619,"رسېدل ( تخت، منصب، رتبې ته ): يوځاى كېدل ( له ): موافقت كول ( له )."
620,620,"موافقت."
621,621,"ګړندى كوونكى دګړنديتوب عامل."
622,622,"ګړندى كول: ګړنديتوب راوستل ( په تګ، پرمختګ، پېښدوكى ): سرعت وركول."
623,623,"ګړنديتوب، بيړه، تدريجي سرعت."
624,624,"ګړندى كوونكى ( شى، څوك ): يوه ماده چې كيمياوي تعامل ګړندى كوي : زور ( په څپه، سيلاب )"
625,625,"لفظ، دموسيقې نوټ ): دخج نښه: دتورې په سرنښه ( چه دتلفظ دجګوالي او ټيټوالي زور، او ږدوالى، كيفيت ښيي ): ټينګه ( لهجه ): تاكيد: بيلوونكى نښه: دوينا ( ځانګړى، خاص، بېل ) ډول."
626,626,"دخج له پلوه خجيز"
627,627,"زور اچول ( په ) : خج وركول ( لغتونه ): په خجيز ډول تلفظ كول: په ساز ( موسيقې ): كې دخج رعايت كول"
628,628,"منل: قبلول، موافقه كول، جواب وركول ( موافق ): لوز ( وعده ) كول ( دادا كولو): منل ( دمعنى له نظره )."
629,629,"مننه، هر كلى، قبلونه ( تج ) منل شوى حواله."
630,630,"دمنلو وړ، غوره"
631,631,"په غوره توګه: په منلې توګه."
632,632,"رواجي معنى، ښه هركلى، تو دهركلى."
633,633,"جشن، خوښى، خوشحالى."
634,634,"اميل، هار."
635,635,"په يوشى پسې تلل، دهغه را اخيستل او راوړل، بودول، پسې تلل، راګرځول، را ستنول: خرڅول، پلورل: ايستل: وهل: اجراكول."
636,636," اصط) زړه را كښونكى، په زړه پورې، ګلالى."
637,637,"جشن، مېله."
638,638,"طلسم، تعويذ، بلا بند : نامعقوله نمانځنه: زياته مينه."
639,639,"هغه عقيده چه بې روحه شيانو ته په روح قايل وى او نمانځنه يې كوى: خرا فات، په جادو باندې عقيده."
640,640," بد بويه، بدوږمه."
641,641,"طلسم، تعويذ، بلا بند : نامعقوله نمانځنه: زياته مينه."
642,642,"هغه عقيده چه بې روحه شيانو ته په روح قايل وى او نمانځنه يې كوى: خرا فات، په جادو باندې عقيده."
643,643,"ښنګرى (داّس)، داّس دښنګرى وېښته."
644,644,"ځولانه كول، ښكېل كول، دوربلول."
645,645,"وضع، حالت، څېره، بڼه."
646,646,"جنين، جنينى."
647,647,"تربګنى، دښمنى، بدى."
648,648," فيوډالى، خانى، خانخانى، ملوك الطوايفى."
649,649,"فيوډالى حكومت، فيوډالى سيستم."
650,650,"ملوك الطوايفى،خانى."
651,651,"تبه، ګيڼۍ، هيجان."
652,652," تبجن."
653,653," په ګبڼو، په شوق په تبجن ډول."
654,654," څو، لږ."
655,655,"لږ والى."
656,656,"تركى خولۍ، رومى خولۍ، سره زونډى وره خولۍ چه پخوابه تر كانو، پرسر كولې."
657,657,"نا مزاد (سړى)."
658,658,"كوژده شوې نجلۍ، ور كړې نجلۍ، په نامه شوې."
659,659,"ماته، ماتى، دخندا وړ ناكامى."
660,660,"امر، حكم، فرمان."
661,661,"وړه اشتباه، وړه غلطى،لږ شانته درواغ، (اصط) دوړى سوړى."
662,662,"دوړن، لږ شانته درواغجن."
663,663,"ريښكۍ، تار، سپڼسى."
664,664," دتار، دسپڼسى، دريښكۍ."
665,665," ارين، ريښكۍ ييز، سپڼسين."
666,666,"وړكتون: بوزغلى، قورپه"
667,667,"روزل شوى كوچنى دداځو ياپرستارى په لاس"
668,668," روزنه ، پالنه : خواړه،تغذ يه،مندكه، ميندكه، زړى، زڼى: خښته، پيچ ( فازى )، نټ."
669,669,"مند كه ما تونكى يوډول مرغه ."
670,670,"شين توپى، شيدوپى شينكى ( يوډول جو غكه )."
671,671,"يوډول دديك مساى چه په پخلى كى استعماليږى، يوډول اغوز"
672,672," مغذى."
673,673,"خواړه، غذا، خوړونه، تغذيه"
674,674,"خواړه، غذا"
675,675," مغذى"
676,676," مغذى"
677,677,"دمندكوپوستو كى."
678,678," له زړيوډك زړى لرونكى ( لكه ځينى ميوې ): دزڼوك: خوندور."
679,679,"په پزموهل، په پزى پورى وهل، روزل: تربيه كول."
680,680,"قايلون: يوډول تركيى ټركر چه له سكرو، هوااواوبوڅخه يې جوړوى"
681,681,"موره چه په غرو، لښتو او ونوكىاوسيږ ى: ښكلې، پى مخى او ناز كه پيغله"
682,682,"دانګليسي ژبې دالفبا پنځلسم توری"
683,683," بجه."
684,684," ټيك، صحيح، سم."
685,685,"پڅ ، بې عقل،احمق."
686,686,"څيړۍ ( بلوط )"
687,687," دڅيړۍ."
688,688,"زړه رسۍ چه دبيړيو دسوريو اوچا كوپه بند ولوكى استعماليږى."
689,689,"دبيړۍ راشبيل ( پارو ) هغه چه دكوچنيوبيړيو دبيولودپاره استعماليږى."
690,690,"دبيړۍ په څنډه كى هغه كنډګي چه پاروپكى ايښودل كيږى."
691,691,"را شبيل وهونكى."
692,692,"رغياڼه ( واحه ) شينلى."
693,693,"سارايى اوربشى."
694,694," وربشينه."
695,695,"لوړه ( قسم )."
696,696,"هغه خواړه چه له سارايى وربشو څخه جوړ شوى وى."
697,697,"ځېل، لجاجت."
698,698," ځيلى ( لجوج ) سرسخت، په زړه كلك، بې زړه سويه."
699,699,"مننه، قبلونه."
700,700," منونكى، مطيع، فرمان وړونكى."
701,701," په مننه، په اطاعت."
702,702,"ټيټيدنه ( دتعظيم دپاره )."
703,703,"دتيږى څلور كونجه ستنه ( ستون ) چه سريې دهرم په شان وى."
704,704," ډير چاغ ، قوى."
705,705,"چاغوالی ، ترخپل حد نه چاغ ، مزى توب."
706,706,"منل، غاړه ايښودل، قبلول، دچا خبره منل."
707,707,"دمړينى خبر."
708,708,"ګوته نيول، اعتراض كول، مخالفت كول."
709,709,"روغه غوښتونكى ."
710,710," سوكه كول، ارامول، كرارول ، على كول ."
711,711,"دټګۍ اوبرګۍ په اثرلاس ته كول، دچل ول په ذريعه بودول ."
712,712,"پنډه، پنډه كى، ګيډۍ غوټه، قطى، بكس ، كڅوړه ."
713,713,"پنډكوونكى، ګډى كوونكى، راغونډوونكى، بارتړونكى دقطى ډكوونكى."
714,714,"كوچنۍ غوټه ،( پارسل )،  پنډه كى، هغه بيړۍ چه  دپوستي غوټې له يوه ځايه بل ځاى  ته وړى"
715,715,"كته ، موړه"
716,716,"مرغلين تار، كلك مزى"
717,717,"تړون، معاهد."
718,718,"كونستر ګى، ناليګۍ، ناليچه  هغه كلكه  اوهواره كاغذى يادلرګي دړه چه دليكودپاره استعماليږى، دځينوژوودپښو پل ( لكه دګيدړي اوداسى نورو )."
719,719,"دناليګۍدجوړ ولوعمليه، هغه مواد چه په ناليچه كى اچول كيږى"
720,720,"پارووهونكى، چپه كښ"
721,721,"پره  لرونكى څرخ، پره والا څرخ ، هغه څرخ چه غاښى غاښى وي، غاښور څرخ ، پري پري څرخ ."
722,722,"څړځى، ورشو(چه شپول ته نژدى وى)"
723,723,"كولپ ، كلپ ،   قفل ."
724,724,"پلار پادرى، (دعيسوى ملا، پادرى، ( دعيسوى  ملايانولقب ) دبيړۍ مشر."
725,725,"دخوشالۍ سندرى، حماسى سندرى"
726,726,"مشرك ، كاپر (كافر) ينه ."
727,727,"بى ديني ."
728,728,"مخ، صفحه، ( لكه دكتاب اوداسى نورو"
729,729,"ننداره، ښودنه، نمايش، منظره، بى اساسه نمايش."
730,730,"له برمه ډك ننداره، شان داره ننداره"
731,731,"برج ډوله ماڼۍ، څوپوړ بزه ماڼى، بتخانه"
732,732," د Pay ما ضی او دریم حالت"
733,733,"بوكه (٢) هغه لوښۍ چه اوبلن شيان  له يوه ځايه بل ځاى ته په كى وړل كيږى . -  (١) ستل، سلواغه."
734,734," يوستل (اوبه )"
735,735,"خوږ، درد، سزا، رنځ، كړاو"
736,736," خوږمن"
737,737," په خوږ منه توګه ، په ربړ ."
738,738," بى خوږ و، بى درده"
739,739," زياركښ، ربړ ګالونكى  ډبرمحتاط ."
740,740," په احتياط"
741,741," رنګول، انځو رول ( نقاشى كول )."
742,742,"در نګولو برس"
743,743,"رنګوونكى، رنګمال"
744,744,"رنګونه."
745,745,"جوړه، جوت ( جفت )"
746,746,"څڅېدل، بهېدل."
747,747,"څڅېدنه، بهېدنه، څڅوبى."
748,748,"غيب ويونكى، په پټو پوه، سترګور: ځيرك، دنظر خاوند: پيغمبر."
749,749,"باڼيچك يا باڼي چغ، غنجلبيكه، غنجرباز، ډيمباچك، دنګ."
750,750,"خوټول، ايشول، جوشول، ګبڼۍ اخيستل، خوټېدل، ايشېدل."
751,751,"برخه، ونډه، ټوټه: قطعه (هندسه): كړۍ: بند."
752,752,"بيلول، جلاكول، ګوښي كول: يوازي كول، تبعيض كول."
753,753,"بېلتون، توپير، تبعيض."
754,754,"ښاغلى: خان، سردار، زميندار."
755,755,"تور، دكبانو جال، توپان جال"
756,756," دزلزلې، زلزليز."
757,757," زلزليز، دزلزلې."
758,758,"نيول، لاندې كول، قبضه كول، بريد كول: وهل، ګيرول،اثر اچول، ضبطول،اخيستل، ټينګول، په منګول كې نيول: په غوټه اخيستل، ناڅاپه نيول."
759,759,"نيونه، ناڅاپي بريد، راتلنه (لكه دناروغۍ)."
760,760,"ډير لږ، يو نيم وار، كوم وار، كله كله، ندرتا."
761,761,"خوښونه، ټاكنه، انتخاب غوره كول، (بيالوجي) دتكامل دقانون دمخې وژوندى دښونو عوژوندى پاته كېدنه (بقاء اصلح)."
762,762,"په اريانوونكى توګه، په عجيبه ډول."
763,763,"ترنګ، اهتزاز ( موسيقي )."
764,764,"رېږد، لړزه، جړك، ټكان (لكه دزلزلې)"
765,765," رېږدوونكي، لړ زوونكي: ډاروونكي، ډارن: ړچنده، خوځنده"
766,766,"په رېږدېدا"
767,767,"موږى، دلرګي مېخ."
768,768," كنده كېدل، لښتى اېستل: مورچل جوړول، پت غالي كيندل: تېرى كول، لاس اوږدول.  نرى لښتى: كنده، ژور غالي: مورچل، پټ غالي"
769,769,"تېره: روڼ، څرګند: ځيرك."
770,770,"دغوښو او ډوډۍ دپرېكولو پتنوس وزمه دړه."
771,771,"خېټو، ګېډو، نس پړسى."
772,772," خوا، مخه، تګ لار، ميلان، تمايل  يوې خواته مخ كول، تمايل ښوول: پاملرنه كول"
773,773," په اره سورى كول ( دكوپړۍ ).  دكوپړۍ دسوري كولو اره ( جراحي )."
774,774,"دسرد كوپړۍ دسوري كولو اصلاح شوې اره."
775,775,"رېږد، ترهه، تراره، وېره"
776,776," تېرى كول، لاس اچول، زور زياتى كول: ګناه كول: بريدماتول، ترپولې ورتېرېدل."
777,777,"تېرى كوونكى."
778,778,"كوڅۍ، چوټى."
779,779,"ګړونج، پايه، خرك."
780,780,"درې ګونى، ددرو شيانو مجموعه."
781,781," اّزمايښتي.  ازمايښت، اّزموينه: ځوروونكى ( شى ): كوښښ: محاكمه، مقدمه."
782,782,"مثلث، درې ګوټه"
783,783,"درې ګوټيز، مثلثي."
784,784,"په مثلثو وېشل، ردې ګوټيز كول."
785,785,"قبيلوى، قومي."
786,786,"ټبر، قبيله، توكم، كهول، خېل، كورنۍ ( لكه دژوو )."
787,787,"دقبيلې غړى."
788,788,"كړاو، نول، ناورين"
789,789,"دقاضي ګدۍ ( مسند ): محكمه"
790,790,"قضا"
791,791," په لرغوني روم كي دخلكو دازادۍ او حقوقو ساتونكي: دخلكو مدافع: ټريبيون ( دخطابې مېز )، دريځ."
792,792," كلنګ وركوونكى: كومكي سيند، تابع.  كلنګ وركوونكى، باج وركوونكى: كومكي ( لكه فعل )، معاون ( لكه سيند)."
793,793,"باج، خراج، جزيه: نمانځنه، ستاينه، مننه."
794,794,"شېبه، درنګ."
795,795,"دمټ درې سرې پله درې سرى."
796,796," غولول، تېراېستل: چل كول، ملنډې وهل: سينګارول.  چل، چم، تېراېستنه، غولونه: ځيركي، چالاكي: خاص عادت، خاصيت، ځانګړى خوى."
797,797,"چل، تېراېستنه، غولونه، چالاكي."
798,798,"څاڅكي، څاڅكي څاڅكي  څڅېدل، څاڅكي څاڅكي تويېدل."
799,799,"چلباز، چلى، چالاك، ټګ"
800,800,"دچل، چلى، چلباز."
801,801,"درې رنګى ( بيرغ )."
802,802,"درې رنګى ( بيرغ )."
803,803," درې څوكى غاښ  درې څوكى، درې سرى،دري غاښى، درې غوږى"
804,804,"درې ارابه ييزه سايكل، ټرى سايكل، درې څرخي."
805,805,"درې غاښۍ، درې غاښې نيزه"
806,806," ازمويل شوى، دډاډ وړ، تجربه شوى: خالص، صاف شوى."
807,807," درې كليز، درې كلن, درې كليزه پېښه: دريمه كاليزه ( دپېښى )."
808,808," بابېزه ګړېدل، په ټوكو تېرول ( خبره ).  كم ارزښته، خوشى، بابېزه."
809,809,"سات تېروونكى، وخت اړوونكى."
810,810,"بې ارزښته،لږ، وړوكى."
811,811,"سوتره، سوچه، سپېڅلى، سينګار شوى: ځيرك."
812,812,"ماشه."
813,813,"دمثلثاتو."
814,814,"دمثلثاتو"
815,815,"مثلثات."
816,816," لړزند ږغ، په مخرج كې دسره ورته بې غږو تورو ژرژر تكرار: دموسيقي رېږدېدونكى ږغ."
817,817," زربليونه ( په امريكا او فرانسه كې ) يومليون بليون ( په المان او انګلستان كې )."
818,818," درې ګونې ځانګړي هنرى اثار چې ديودبل بشپړوونكى وي، درې ګوني مقالې."
819,819," سوتره، سينګار شوى، بشپړ جوړ، ډولى.  چمتووالى ( لكه دبېړۍ )، تيارى.  سمول، سمبالول، جوړول، بياتي كول،خريل، سينګارول، پرې كول، سركپ كول ( لكه ونې )."
820,820,"درې توليز نظم، درې تاليز نظم."
821,821,"په سينګار، په ډول."
822,822," سينګار وونكى، ښكلوونكى: دوخت سره چلېدونكى، اپرتونست: په بېړۍ كې دوزن انډول جوړوونكى."
823,823,"جوړښت، ښكلا"
824,824,"درې ستوى، درې ګونې، درې چنده."
825,825,"دتثليث منونكى."
826,826,"تثليث"
827,827,"ارزان بيه ګاڼه: ګوډۍ، نانځكه، لوبتكه."
828,828," درې ګونې، درې تنه، درې كسيزه ډله: درې كسيزه سندره، درې سازيزه سندره."
829,829," اوچت ګام، چست تګ: چكر، لنډ سفر، دوره: بودرۍ، تير وتنه، غوليدنه.  اوچت ګام اخيستل، چست ګام اخيستل، سپك تګ كول: بودرۍ خوړل، تيندك خوړل، تيروتل، ښوييدل: خوشې كول، خلاصول، ايله كول."
830,830," درې برخيز، درې ټوكيز: درې ګونې، درې اړخيز، درې خواييز."
831,831,"لرې ( لكه دغيي ) چټيات، بې ارزښته شى."
832,832," درې ستوى كول، درې ګوني كول.  درې ګونى درې كسيزه ډله."
833,833,"درې ګوني (اولاد)."
834,834,"وګوري. (Triple)"
835,835," يوپه درې كول، درې ګوني كول.  دريمګړى، دريمه نسخه.  درې نقله ( لكه درسيدونو ) سه پارچه"
836,836,"ناسوركيدنه ، ناسور"
837,837,"ناسور، ټپى، قرحه لرونكى."
838,838,"دليچې هډوكى ،څنګل"
839,839,"شوغه ، چپن ."
840,840,"اخوا، پوري غاړه ، رپورې. غاړي: ليرې وړاندې، راتلونكى."
841,841,"وروستنى، نهايى، ډېر لرې ډېر لرې، ډيروړاندې، ړومبنى، اعظمى، غايى."
842,842,"په پاى كې ، په نتيجه كى"
843,843,"وروستى ټكى (شرط ياخبره )."
844,844,"له پرتى وتلى، بۍ حده له كرښې او ښتى، دبريده وتلى،افراطى، دمونډيز(اساسى) بدلون غوښتونكى، راډيكال.  (مختاړى) پورې خوا(ماوراه ) اخوا: له حده زيات ."
845,845,"خوراډير ليوال."
846,846,"زښت ډېرساده"
847,847,"خوراډولى، ډولى، ډېر فيشنى."
848,848,"خورالاس پراخى،ارت لاسى، دلوييء سيني خاوند، ډير ازادي غوښتونكى."
849,849,"زښت ډير وفادار، خورا پتى"
900,900,"دجبهې بدلون، مخه ګرځونه: بدلون، اوښتنه، ګرځيدنه (په سياس، نظامي چارو نظريې او نورو كې.)"
901,901,"ژبور، ژبغړاند، وياند، فصيح."
902,902,"په روانۍ، په ژبور توب، په فصاحت."
903,903,"ټوك، جلد ( دكتاب ) حجم: ډيرۍ، دلۍ، انبار، كوټ، دغږ ډكوالي يا جګوالي."
904,904,"دحجم، دحجم په اندازه كولو پورې مربوط."
905,905,"ډير كا تيز، غټ، ډډبډ: ډير ليكونكى."
906,906,"په خپله خوښه، رضا كارانه، په اختياري ډول، په قصدي توګه."
907,907,"خپل خوښيز، دخپلې خوښې ( كار، عمل ) ارګان غږونه ( په مذهبي عبادت كې ).  اختياري، داوطلب، افتخاري: ارادي، خپل اندى، قصدي."
908,908,"په خپله خوښه وركول, په خپله خوښه وروړاندې كيدل.  خپل خوښيز، دخوښې: درضا كارو، دسر تيرو، دايله جارو.  خپل خوښى ( رضا كار )، داوطلب: ايله جاري، سر تيرى."
909,909,"چړچو، عياش، چړچې."
910,910,"چړچو، عياش، دمزو، نفساني، شهواني: لمسوونكى، شهوت پاروونكى."
911,911,"چړچې، عيش، شهوت."
912,912,"كوړى كوړى انځور، تاوراتاو انځور: (ژوپوهنه) ګوجى."
913,913,"كانګې ورتلل، قى كيدل: په زوره ګرځيدل، په زوره ار تاويدل، جاروتل, ګرځول، كانګې كول، جار ايستل: په زوره ګرځول، په زوره ارتول.  كانګې (ګرځول)، خوا ګرځيدنه، قى: دكانګو ناروغي."
914,914,"له،د: په جرمني او اتريشي ژبه كې دشخصي نومونو تر مخ داشرافيت نخښه ده."
915,915,"په افريقايي تور پوستو كې دټوټكه مارۍ او كوډو مذهبي عقيده: تور پوستي ټوټكه مار، كوډګر: جادو، ټوټكه مارى، كوډګر."
916,916,"په افريقايي تورپوستوكې دكوډګرۍ او ټوټكه مارۍ عقيده: كوډې، جادو، ټوټكه مارى."
917,917,"خيټو، سراښ، حريص: ليوال."
918,918,"سراښى، لالچ، حرص: ليوال تيا"
919,919,"غولۍ، غړومبۍ، ګرداب بړيوكۍ."
920,920,"دمذهب يا عقيدې فدا كاره او ځان بخښونكى ښځه: مريده، شاګرده."
921,921,"دمذهبي يا مذهبي عقيدې فدا كار او ځان بخښونكى سړى: مريد، شاګر."
922,922,"دمذهب يا عقيدې فدا او ځان بخښونكى: مريد، شاګرد."
923,923,"ميرن، رايه وركول، اڼول، غوره كول، خوښول: تړه كول، په عامو رايو څرګندول.  رايه، ووټ، خوښه، نظريه، خوښونه، ميرنه، اڼونه، انتخاب: دخوښې لوواك، داڼونى اختيار، درايې وركولو حق: انتخابات، درايو اخستنه، رايه وركونكى، دخوښې څرګنديدل درايې ښكاره كيدل."
924,924,"خوښوونكى، انتخابوونكى، رايه وركوونكى."
925,925,"دمننې، دنذر، په نذر كې وركړشوى."
926,926,"په غاړه اخستل، ضمانت وركول، تائيدول، لوول, لووى كيدل، شاهد كيدل."
927,927,"په غاړه اخيستونكى، ضامن: لووى، شاهد: سند، ضمانت ليك."
928,928,"مهرباني كول، لطف كول، په مهربانۍ وركول."
929,929,"په ودانيو كې پايې چې محراب وزمه اډاونه جوړوي."
930,930,"منښته: نذر: لوړه، لوز، قسم، وعده، ژمنه:  منښته كول، نذر منل: لوړه كول، سوګند كول، ژمنه كول, نذر كيدل."
931,931,"غږيز، ږغيز، دعلت تورى غږ وال تورى."
932,932,"سفر كول ( په سمندر كې ): سفر كول ( په الوتكه كې ).  ساه ( سمندري يا هوايي )."
933,933,"مسافر ( سمندري )."
934,934,"په كانا ډاكې ښكاري ماڼو ګۍ چې په باړه دپوستكو له پاره حيوانات نيسي او يا دغه پوستكى وړي او راوړي."
935,935,"(افسانه) په لرغوني روم كې داور او فلز كارۍ رب النوع."
936,936,"يو ډول كلك ربړ."
937,937,"په كميايى لاره دربړ كلكوالى، ټينګوالى او دراكښون دقوت سمون."
938,938,"په كميايى لاره دربړ كلكول."
939,939,"په كميايى لاره دربړ سموونكى."
940,940,"شډل، شاړ، بې ډبه، مبتذل: ولسي: عاميانه: ولس: ولسي، سكنى: ناروزلى، بې ډبه: بې ذوقه."
941,941,"عام كسر"
942,942,"سپك بډاى، بې ډپه شتمن."
943,943,"شډلتيا، بې ډبتيا، لواړ والى، ناروزلتوب، عاميانه والى، بازاريتوب: دوينا شډلتيا، دخبرو بې ډبتيا، دژبې لوړوالى."
944,944,"شډلتيا، بې ډبتيا، لواړوالى، ناروزلتوب، عاميانه والى، بازاريتوب: دوينا شډلتيا، دژبې لواړوالى."
945,945,"شډلولو، لواړول، عاميانه كول، مبتذل كول."
946,946,"په لاتيني كې دانجيل نوى ترجمه چې په څلورمه مسيحي پيړۍ كې دسن ژروم له خوا شوې او وخت په وخت نوې شويده."
947,947,"كيدونكى: يرغل ته جوړ، هغه څه چې حمله پرې كيداى شي، حساس: د ( بريج ) په لوبه كې دغبرګي سزاوړ"
948,948,"دانګليسي ژبې دالفبا درويشتم توری"
949,949,"ځنګيدل، ځمبيدل، كوږووږ تلل: دوه مړه كيدل ، بى نيابه كيدل: ريږديدل، لړزيدل."
950,950,"كيډۍ، سترۍ ( لكه د وښو ) : بوجه ( كارك ) ، خولپوټى: كيلتۍ ( د كارتوس د وادرو خو لپوټى ) ،د بالښت او نورو د ډكولو مواد.  كښېلل، ډكول: په بوجه بندول، په خوليوټى بندول: د كارتوس بندول ( لكه په ګولۍ ) : په پستو موادو ډكول ( لكه په مالوچو )"
951,951,"ګيډۍ، سترۍ ( جمع ) د ډكون پاسته مواد (لكه وړۍ، مالوچ ): وهل شوى، ټكول شوي مالوچ."
952,952,"په زنګدو تلل، ځنګيدل، انډى كيدل، كوږووږ تلل: كوږ ووږ تګ.  كوږ ووږ تګ"
953,953,"په اوبو، خټو، واورو تلل او پورې وتل: په سختۍ تلل: په سختيو بريالى كيدل، په سختۍ سره كول: بوختيدل ، اړم كيدل.  په اوبو، خټو، واورو پورې ايستل: په سختۍ بيول، پورې ايستل."
954,954,"تلونكى او پورى وتونكى ( په اوبو، خټو واورو ) : ډينګ ( مرغه ) : ( جمع ) موزې، جګ ربړى بوټونه."
955,955,"خوړ، لګډ شيله ( په شمالى افريقا او نژدې ختيځ كې )"
956,956,"خوړ، لګډ شيله ( په شمالى افريقا او نژدې ختيځ كې )"
957,957,"كمربند، كولچه، بابړ، كولچه : سريښناك ( سليشناك) نرى كاغذ: د ټاپى لاك."
958,958,"كپند، كولچه، بابړه، كولچه."
959,959,"د كرپند، كولچو پخولو تنور."
960,960,"( د اوبو په سر ياهوا كې ) بيول، چلول، بيول، لاهو كول، الوزول.  تلل، چليدل، بهيدل، لاهو كيدل، الوتل ( په اوبو يا هوا كې)  تږم، بدبوى، وږم، د باد، لوبښ نزمه"
961,961,"خوزول، ځنډول، ښورول، زنګول: ټوكمار، ساعت تيرى، ګپو."
962,962,"بوختېدل، برمخ بيول، برخه اخيستل.  باړه، مزدورى، اجرت، تنخا، معاش."
963,963,"باړه چې ( اجير ) مزدور."
964,964,"داو، شرط، داو وهنه، شرط تړنه.  داو وهل، شرط تړل، جواى كول."
965,965,"اجوره، مزدوري"
966,966,"ملنډه، ټوكه."
967,967,"ټوكي، ټوكمارو مسخره: ساعت تيرى، ګپو."
968,968,"واګون، څلور اربيز ګاډى: څلوراربيزه ريړه: په برتانيه كښي د اورګاډى دباروړلو واګون."
969,969,"د اورګاډى دكوټو او واګونو نو لړۍ."
970,970,"كګاډيوان، ګاډى والا"
971,971,"يو ډول ګاډى چې دناستې ځايونه يې سره مخامخ وى."
972,972,"د چينچنيڼو د كورنۍ نه يو ډول وړوكى مارغه چې اوږده لكۍ لرى او د اوبو په غاړه ژوند كوى او لكۍ ښكته پورته خوزوى."
973,973,"يو ډول بوټى  په شمالى امريكا كې يو ډول ونه ده"
974,974,"بى خاونده و بى څښتنه شى: ورك شوى ژوى يا انسان، بى دركه ، ورك: بى كوره ، بيڅوكه، بى كسه."
975,975,"وير، ساند، ژړا، انګولا.  وير كول ، ساندى و يل، ژړا انګولا كول."
976,976,"ګاډۍ، ګاډى، واګون، ريړه."
977,977,"د كوټى ديوال لګين استر: د كوټي دديوال دبنخ رنګ شوى څنډه.  د كوټى ديوال ته لرګين استر وركول."
978,978,"بېړه كول (په شورما شور په درب او دروب."
979,979," بوخت، لګيا، مشغول ، اخته فعال، (امر) په كاريدونكى، په كار راتلونكى، نا وزګار، مصروف لكه ټليفون ."
980,980,"دتروو مچ، سپين سترګى، فضول، نابلى. منځګړ ى."
981,981,"prep.    بي له، چپ له ، مګر"
982,982,"ونډيمار، قصاب، خوني، خونكار."
983,983,"ونډيماريو، قصابي، خونكاري."
984,984,"هغه مزدور چې مچيني لوښي ور په غاړه ړي، خانه سامان."
985,985,"لوى بيلر: ټاپه : کوناټي ."
986,986,"غونډى (چې دنورو غونډيو نه بيله او سر ئى پلن وي)"
987,987,"كوچ، كوچى."
988,988,"يوډول ژيړ ګل په كروندو كې شين كېږي. ژيړ ګلك ."
989,989,"پتنګ، پتڼ، كوكى كمپلى."
990,990,"بي كوچو شيدي، شاربلي موښلي شيدي شلومبي ."
991,991,"يوډول امريكايى غوز، مټك، جوز."
992,992,"تحويلخانه، د خوړاونوروشيانو ساتنځاي"
993,993,"كوناټى"
994,994,"تڼى ګروي، غوټه."
995,995,"غوړياشه، كاج"
996,996,"د تڼى چنګك."
997,997,"درم، پشتى( دديوال)"
998,998," سور اوسپين ، تندرست، ښيراز."
999,999,"اخيستل، پيرودل، رانيول."
1000,1000,"بيرودونكى اخيستونكو را نيونكى."
1001,1001,"بنګيدل ،بڼيدل ( لكه دغومبسي) بنګهار، بڼهار."
1002,1002,"ګور بته ، پكه باښه"
1003,1003,"prep.    نزدي( ته ) په غاړه لكه دي سيند پر ( لكه پل) په قدر، سره سم ( لكه دويناسره) په واسطه ، په ( د قسم په مورد كې) په لاس"
1004,1004,"په راتلونكې وخت كې په كراره،برسيره پر جلا( له) بله دا چې ."
1005,1005,"ضمني محصول يا توليد فرعي توليد."
1006,1006,"په ځينو لوبوكې دهغه سړي حالت چې په يوه روڼډ كې ېى حريف نه وي پيدا كړى او په بري سره بل روڼډ ته داخل شي."
1007,1007,"مقررات، اصولنامه ،كړنلار، فرعي اصولونه."
1008,1008," پخواني، ځنډن، لرغونى، لرغونى تير."
